Zeitstempel,Bestellnummer,Status
2024-10-05 18:10:14,224,abgeholt
2024-10-05 18:09:27,229,abgeholt
2024-10-05 18:08:27,225,abgeholt
2024-10-05 18:05:18,222,abgeholt
2024-10-05 18:05:01,221,abgeholt
2024-10-05 18:01:57,221,abgeholt
2024-10-05 18:01:01,228,abgeholt
2024-10-05 17:58:02,220,abgeholt
2024-10-05 17:56:56,218,abgeholt
2024-10-05 17:54:52,217,abgeholt
2024-10-05 17:53:58,217,abgeholt
2024-10-05 17:52:39,212,abgeholt
2024-10-05 17:52:10,216,abgeholt
2024-10-05 17:51:02,215,abgeholt
2024-10-05 17:50:11,210,abgeholt
2024-10-05 17:48:51,220,abgeholt
2024-10-05 17:48:42,208,abgeholt
2024-10-05 17:48:08,217,abgeholt
2024-10-05 17:47:13,210,abgeholt
2024-10-05 17:46:28,208,abgeholt
2024-10-05 17:45:22,203,abgeholt
2024-10-05 17:44:14,205,abgeholt
2024-10-05 17:42:35,213,abgeholt
2024-10-05 17:41:27,206,abgeholt
2024-10-05 17:40:24,205,abgeholt
2024-10-05 17:39:54,203,abgeholt
2024-10-05 17:38:24,197,abgeholt
2024-10-05 17:37:06,207,abgeholt
2024-10-05 17:36:20,201,abgeholt
2024-10-05 17:36:09,199,abgeholt
2024-10-05 17:36:05,99,abgeholt
2024-10-05 17:35:42,202,abgeholt
2024-10-05 17:35:31,20,abgeholt
2024-10-05 17:35:18,199,abgeholt
2024-10-05 17:34:35,200,abgeholt
2024-10-05 17:33:17,204,abgeholt
2024-10-05 17:31:54,199,abgeholt
2024-10-05 17:30:50,199,abgeholt
2024-10-05 17:29:33,199,abgeholt
2024-10-05 17:28:36,198,abgeholt
2024-10-05 17:26:43,198,abgeholt
2024-10-05 17:23:15,193,abgeholt
2024-10-05 17:22:56,192,abgeholt
2024-10-05 17:21:50,195,abgeholt
2024-10-05 17:21:37,194,abgeholt
2024-10-05 17:20:03,191,abgeholt
2024-10-05 17:14:31,189,abgeholt
2024-10-05 17:11:11,187,abgeholt
2024-10-05 17:09:50,188,abgeholt
2024-10-05 17:09:43,88,abgeholt
2024-10-05 17:09:39,188188,abgeholt
2024-10-05 17:08:44,185,abgeholt
2024-10-05 17:07:59,184,abgeholt
2024-10-05 16:57:14,30,abgeholt
2024-10-05 16:55:32,183,abgeholt
2024-10-05 16:53:30,182,abgeholt
2024-10-05 16:53:26,82,abgeholt
2024-10-05 16:51:05,181,abgeholt
2024-10-05 16:50:48,144,abgeholt
2024-10-05 16:43:47,171,abgeholt
2024-10-05 16:43:39,176,abgeholt
2024-10-05 16:41:20,173,abgeholt
2024-10-05 16:41:13,172,abgeholt
2024-10-05 16:41:00,127,abgeholt
2024-10-05 16:39:41,169,abgeholt
2024-10-05 16:37:47,167,abgeholt
2024-10-05 16:36:19,68,abgeholt
2024-10-05 16:32:18,163,abgeholt
2024-10-05 16:31:55,167,abgeholt
2024-10-05 16:30:57,166,abgeholt
2024-10-05 16:30:16,158,abgeholt
2024-10-05 16:29:27,165,abgeholt
2024-10-05 16:27:58,164,abgeholt
2024-10-05 16:25:18,155,abgeholt
2024-10-05 16:25:08,159,abgeholt
2024-10-05 16:23:59,161,abgeholt
2024-10-05 16:17:06,156,abgeholt
2024-10-05 16:08:55,154,abgeholt
2024-10-05 16:07:55,54,abgeholt
2024-10-05 16:07:51,152,abgeholt
2024-10-05 16:04:00,150,abgeholt
2024-10-05 16:01:41,151,abgeholt
2024-10-05 15:54:24,148,abgeholt
2024-10-05 15:54:09,149,abgeholt
2024-10-05 15:52:47,146,abgeholt
2024-10-05 15:52:41,147,abgeholt
2024-10-05 15:51:38,145,abgeholt
2024-10-05 15:45:46,143,abgeholt
2024-10-05 15:42:43,142,abgeholt
2024-10-05 15:39:13,138,abgeholt
2024-10-05 15:38:38,137,abgeholt
2024-10-05 15:34:38,136,abgeholt
2024-10-05 15:33:18,135,abgeholt
2024-10-05 15:30:52,132,abgeholt
2024-10-05 15:28:13,129,abgeholt
2024-10-05 15:25:47,128,abgeholt
2024-10-05 15:25:22,127,abgeholt
2024-10-05 15:24:45,126,abgeholt
2024-10-05 15:23:55,125,abgeholt
2024-10-05 15:21:52,122,abgeholt
2024-10-05 15:21:03,123,abgeholt
2024-10-05 15:17:02,117,abgeholt
2024-10-05 15:16:18,114,abgeholt
2024-10-05 15:15:01,116,abgeholt
2024-10-05 15:12:54,114,abgeholt
2024-10-05 15:11:35,112,abgeholt
2024-10-05 15:10:45,111,abgeholt
2024-10-05 15:09:02,110,abgeholt
2024-10-05 15:07:56,108,abgeholt
2024-10-05 15:06:34,107,abgeholt
2024-10-05 15:03:32,105,abgeholt
2024-10-05 14:59:13,104,abgeholt
2024-10-05 14:58:20,103,abgeholt
2024-10-05 14:58:08,3,abgeholt
2024-10-05 14:57:05,99,abgeholt
2024-10-05 14:56:30,101,abgeholt
2024-10-05 14:54:49,90,abgeholt
2024-10-05 14:54:43,98,abgeholt
2024-10-05 14:51:12,93,abgeholt
2024-10-05 14:49:49,88,abgeholt
2024-10-05 14:48:20,84,abgeholt
2024-10-05 14:45:42,91,abgeholt
2024-10-05 14:45:29,95,abgeholt
2024-10-05 14:43:13,87,abgeholt
2024-10-05 14:40:40,83,abgeholt
2024-10-05 14:39:14,82,abgeholt
2024-10-05 14:35:20,77,abgeholt
2024-10-05 14:32:33,76,abgeholt
2024-10-05 14:30:55,75,abgeholt
2024-10-05 14:28:45,74,abgeholt
2024-10-05 14:27:29,71,abgeholt
2024-10-05 14:17:50,66,abgeholt
2024-10-05 14:17:13,65,abgeholt
2024-10-05 14:16:20,62,abgeholt
2024-10-05 14:14:00,55,abgeholt
2024-10-05 13:52:07,53,abgeholt
2024-10-05 13:40:53,44,abgeholt
2024-10-05 13:34:43,43,abgeholt
2024-10-05 13:29:56,42,abgeholt
2024-10-05 13:29:53,40,abgeholt
2024-10-05 13:29:43,41,abgeholt
2024-10-05 13:29:07,39,abgeholt
2024-10-05 13:16:13,32,abgeholt
2024-10-05 13:16:09,30,abgeholt
2024-10-05 13:16:03,25,abgeholt
2024-10-05 13:05:41,25,abgeholt
2024-10-05 13:03:43,24,abgeholt
2024-10-05 13:01:33,23,abgeholt
2024-10-05 12:58:53,19,abgeholt
2024-10-05 12:58:49,16,abgeholt
2024-10-05 12:57:32,15,abgeholt
2024-10-05 12:55:48,14,abgeholt
2024-10-05 12:46:10,11,abgeholt
2024-10-05 12:45:26,20,abgeholt
2024-10-05 12:44:49,6,abgeholt
2024-10-05 12:35:44,3,abgeholt
2024-10-05 12:32:24,9,abgeholt
2024-10-05 12:30:57,8,abgeholt
2024-10-05 12:29:28,2,abgeholt
2024-10-05 12:29:25,1,abgeholt
2024-10-05 12:28:44,7,abgeholt
2024-10-05 12:27:17,6,abgeholt
